algo,series,letter,n_nodes,n_edges,time,number
dynamic,26-8,c,26,8,84049,5079655916452
entropy,26-8,c,26,8,1973,56156056490
dynamic,26-8,d,26,8,93958,3792475462250
entropy,26-8,d,26,8,1944,42708727810
dynamic,26-8,e,26,8,89306,1903720800162
entropy,26-8,e,26,8,1767,13366177167
dynamic,26-8,f,26,8,136656,46825463717440
entropy,26-8,f,26,8,2595,984809572824
dynamic,26-8,g,26,8,41276,529771863996
entropy,26-8,g,26,8,1909,56156056490
dynamic,26-8,h,26,8,63163,7273276289940
entropy,26-8,h,26,8,1953,50166616817
dynamic,26-8,i,26,8,53415,840855352102
entropy,26-8,i,26,8,1891,24230008527
dynamic,26-8,j,26,8,90637,38700987528034
entropy,26-8,j,26,8,2171,27340747468
dynamic,30-10,a,30,10,3075294,-7854903474614855804
entropy,30-10,a,30,10,3465,285944642715493
dynamic,30-10,b,30,10,2554973,-4894025990979860776
entropy,30-10,b,30,10,3237,780302949036673
dynamic,30-10,c,30,10,4276168,-7934746142196590640
entropy,30-10,c,30,10,3546,571889285430988
dynamic,30-10,d,30,10,2213222,-3606861543157944016
entropy,30-10,d,30,10,3267,711914062500003
dynamic,30-10,e,30,10,3127094,-5465883422927549254
entropy,30-10,e,30,10,3635,380268224649748
dynamic,30-10,f,30,10,10224368,5668947660323929909
entropy,30-10,f,30,10,3891,10628819999999998
dynamic,30-10,g,30,10,2528292,-7659464366869756276
entropy,30-10,g,30,10,3035,215738159349659
dynamic,30-10,h,30,10,3597691,-7539004902339517432
entropy,30-10,h,30,10,3915,2633522452998775
dynamic,30-10,i,30,10,1941524,2294726732784245160
entropy,30-10,i,30,10,2948,78427912760700
dynamic,30-10,j,30,10,3939226,5516120257808540112
entropy,30-10,j,30,10,2732,24384467157396
dynamic,30-4,a,30,4,8378,41605488
entropy,30-4,a,30,4,2207,40184363601
dynamic,30-4,b,30,4,9485,12012774390
entropy,30-4,b,30,4,1996,6060792185
dynamic,30-4,c,30,4,12192,22840199949
entropy,30-4,c,30,4,2162,146649777889
dynamic,30-4,d,30,4,7719,1938339394
entropy,30-4,d,30,4,1851,534538440
dynamic,30-4,e,30,4,9426,12557286180
entropy,30-4,e,30,4,1899,4829906831
dynamic,30-4,f,30,4,8141,507504486
entropy,30-4,f,30,4,2040,920355958
dynamic,30-4,g,30,4,7036,233076312
entropy,30-4,g,30,4,1972,667686320
dynamic,30-4,h,30,4,7028,1281428588
entropy,30-4,h,30,4,1713,509404236
dynamic,30-4,i,30,4,11078,497333232
entropy,30-4,i,30,4,2042,7733484380
dynamic,30-4,j,30,4,8654,20396670388
entropy,30-4,j,30,4,1833,1458764120
dynamic,30-6,a,30,6,35760,13491196511360
entropy,30-6,a,30,6,2717,7508515257509
dynamic,30-6,b,30,6,32380,34967693975760
entropy,30-6,b,30,6,2434,254768852538
dynamic,30-6,c,30,6,29455,5025479392188
entropy,30-6,c,30,6,2536,925051547606
dynamic,30-6,d,30,6,22696,572399446446
entropy,30-6,d,30,6,2411,384433593750
dynamic,30-6,e,30,6,27858,902272789449
entropy,30-6,e,30,6,2305,709610685438
dynamic,30-6,f,30,6,26311,1582766356092
entropy,30-6,f,30,6,2193,146649777889
dynamic,30-6,g,30,6,22612,4490863134408
entropy,30-6,g,30,6,2343,925051547606
dynamic,30-6,h,30,6,18481,1387384726464
entropy,30-6,h,30,6,2331,823974609374
dynamic,30-6,i,30,6,29225,34038489241761
entropy,30-6,i,30,6,2269,142934871006
dynamic,30-6,j,30,6,57693,1356615504792726
entropy,30-6,j,30,6,2937,451564206618
dynamic,30-8,a,30,8,209918,47446973196099800
entropy,30-8,a,30,8,2834,35031511230468
dynamic,30-8,b,30,8,154491,910183993162544
entropy,30-8,b,30,8,2748,5941691010152
dynamic,30-8,c,30,8,415886,36622092208746564
entropy,30-8,c,30,8,3229,92951600308978
dynamic,30-8,d,30,8,146465,3558015679364298
entropy,30-8,d,30,8,3005,1943235014570
dynamic,30-8,e,30,8,118650,397756611919788
entropy,30-8,e,30,8,3313,823974609374
dynamic,30-8,f,30,8,91148,704641817996189
entropy,30-8,f,30,8,3237,4449490522968
dynamic,30-8,g,30,8,151154,1220077750372114
entropy,30-8,g,30,8,2848,12301875000000
dynamic,30-8,h,30,8,100632,1161019399236156
entropy,30-8,h,30,8,2686,1886682356015
dynamic,30-8,i,30,8,171894,3707270841704832
entropy,30-8,i,30,8,3463,15980604396271
dynamic,30-8,j,30,8,149989,4426273794786360
entropy,30-8,j,30,8,2928,9662344629618
