Algo,Serie,Ex,n_noeuds,n_arcs,temps,nombre_ext_lin
dynamic,30-4,e,30,4,9426,12557286180
dynamic,30-4,f,30,4,8141,507504486
dynamic,30-4,g,30,4,7036,233076312
dynamic,30-4,h,30,4,7028,1281428588
dynamic,30-4,i,30,4,11078,497333232
dynamic,30-4,j,30,4,8654,20396670388
dynamic,30-6,a,30,6,35760,13491196511360
dynamic,30-6,b,30,6,32380,34967693975760
dynamic,30-6,c,30,6,29455,5025479392188
dynamic,30-6,d,30,6,22696,572399446446
dynamic,30-6,e,30,6,27858,902272789449
dynamic,30-6,f,30,6,26311,1582766356092
dynamic,30-6,g,30,6,22612,4490863134408
dynamic,30-6,h,30,6,18481,1387384726464
dynamic,30-6,i,30,6,29225,34038489241761
dynamic,30-6,j,30,6,57693,1356615504792726
dynamic,30-8,a,30,8,209918,47446973196099800
dynamic,30-8,b,30,8,154491,910183993162544
dynamic,30-8,c,30,8,415886,36622092208746564
dynamic,30-8,d,30,8,146465,3558015679364298
dynamic,30-8,e,30,8,118650,397756611919788
dynamic,30-8,f,30,8,91148,704641817996189
dynamic,30-8,g,30,8,151154,1220077750372114
dynamic,30-8,h,30,8,100632,1161019399236156
dynamic,30-8,i,30,8,171894,3707270841704832
dynamic,30-8,j,30,8,149989,4426273794786360
