algo,series,letter,n_nodes,n_edges,time,number
dynamic,18-8,c,18,8,182,78110343360
entropy,18-8,c,18,8,1,57395627
dynamic,18-8,d,18,8,98,8633999304
entropy,18-8,d,18,8,1,14348907
dynamic,18-8,e,18,8,205,102115039338
entropy,18-8,e,18,8,1,48427561
dynamic,18-8,f,18,8,130,16228051812
entropy,18-8,f,18,8,1,21340061
dynamic,18-8,g,18,8,193,63006862374
entropy,18-8,g,18,8,1,85360247
dynamic,18-8,h,18,8,122,18730568448
entropy,18-8,h,18,8,1,27721553
dynamic,18-8,i,18,8,143,22096649664
entropy,18-8,i,18,8,1,96855122
dynamic,18-8,j,18,8,201,56174898528
entropy,18-8,j,18,8,1,37279553
entropy,22-10,a,22,10,2,54908256610
entropy,22-10,b,22,10,2,31431320142
entropy,22-10,c,22,10,2,15715660071
dynamic,22-10,d,22,10,842,48788319215662
entropy,22-10,d,22,10,1,11923742514
dynamic,22-10,e,22,10,818,72863352543960
entropy,22-10,e,22,10,2,17992337525
entropy,22-10,f,22,10,2,31431320142
dynamic,22-10,g,22,10,624,39170789316120
entropy,22-10,g,22,10,2,16269113069
dynamic,22-10,h,22,10,576,18895538135232
entropy,22-10,h,22,10,2,40242630988
entropy,22-10,i,22,10,2,32538226139
dynamic,22-10,j,22,10,646,84382922522646
entropy,22-10,j,22,10,1,7857830035
dynamic,22-4,a,22,4,5,4354368
entropy,22-4,a,22,4,1,5206116
dynamic,22-4,b,22,4,7,61053356
entropy,22-4,b,22,4,1,20116044
dynamic,22-4,c,22,4,3,202860
entropy,22-4,c,22,4,1,6578969
dynamic,22-4,d,22,4,9,105288250
entropy,22-4,d,22,4,1,26449810
dynamic,22-4,e,22,4,6,70768494
entropy,22-4,e,22,4,1,20638865
dynamic,22-4,f,22,4,8,40080441
entropy,22-4,f,22,4,1,35141284
dynamic,22-4,g,22,4,6,9261420
entropy,22-4,g,22,4,1,13525886
dynamic,22-4,h,22,4,5,24393680
entropy,22-4,h,22,4,1,4294913
dynamic,22-4,i,22,4,5,28459166
entropy,22-4,i,22,4,1,3623833
dynamic,22-4,j,22,4,4,5487543
entropy,22-4,j,22,4,1,602721
dynamic,22-6,a,22,6,52,373014778496
entropy,22-6,a,22,6,1,213298390
dynamic,22-6,b,22,6,37,105377421916
entropy,22-6,b,22,6,2,756120047
dynamic,22-6,c,22,6,55,178249922640
entropy,22-6,c,22,6,1,2328245936
dynamic,22-6,d,22,6,21,6686206418
entropy,22-6,d,22,6,1,79747036
dynamic,22-6,e,22,6,51,36713234838
entropy,22-6,e,22,6,1,1108330948
dynamic,22-6,f,22,6,39,30195038032
entropy,22-6,f,22,6,2,359941033
dynamic,22-6,g,22,6,46,161551613642
entropy,22-6,g,22,6,1,554165474
dynamic,22-6,h,22,6,36,59212119966
entropy,22-6,h,22,6,1,51510567
dynamic,22-6,i,22,6,40,28340662596
entropy,22-6,i,22,6,1,1108330948
dynamic,22-6,j,22,6,28,18967237166
entropy,22-6,j,22,6,2,245557188
dynamic,22-8,a,22,8,199,3827116143422
entropy,22-8,a,22,8,2,4656491872
dynamic,22-8,b,22,8,205,2572446186820
entropy,22-8,b,22,8,1,1164122968
dynamic,22-8,c,22,8,208,3721073044334
entropy,22-8,c,22,8,1,9640955893
dynamic,22-8,d,22,8,85,21491823780
entropy,22-8,d,22,8,1,714144880
dynamic,22-8,e,22,8,235,17387226673672
entropy,22-8,e,22,8,2,3462626971
dynamic,22-8,f,22,8,145,871553358984
entropy,22-8,f,22,8,1,4656491872
dynamic,22-8,g,22,8,200,1538149030572
entropy,22-8,g,22,8,1,2879528271
dynamic,22-8,h,22,8,228,2785367193208
entropy,22-8,h,22,8,1,4656491872
dynamic,22-8,i,22,8,165,3558491999680
entropy,22-8,i,22,8,1,1164122968
dynamic,22-8,j,22,8,215,5202436696482
entropy,22-8,j,22,8,1,2515164436
dynamic,26-10,a,26,10,910,71442927261641000
entropy,26-10,a,26,10,2,4317654921527
dynamic,26-10,b,26,10,584,2656164129178664
entropy,26-10,b,26,10,2,382098561847
dynamic,26-10,c,26,10,475,400390237438048
entropy,26-10,c,26,10,2,338624663516
dynamic,26-10,d,26,10,580,915783116676764
entropy,26-10,d,26,10,2,338624663516
dynamic,26-10,e,26,10,868,1634671262018028
entropy,26-10,e,26,10,2,1821510670019
dynamic,26-10,f,26,10,750,7789705996698080
entropy,26-10,f,26,10,2,6113576989562
dynamic,26-10,g,26,10,779,245092632348362
entropy,26-10,g,26,10,2,229736377148
dynamic,26-10,h,26,10,302,365756634051168
entropy,26-10,h,26,10,2,246202393206
dynamic,26-10,i,26,10,668,959068157992468
entropy,26-10,i,26,10,2,103866634633
dynamic,26-10,j,26,10,724,1307633079593794
entropy,26-10,j,26,10,2,1528394247390
dynamic,26-4,a,26,4,10,5027586016
entropy,26-4,a,26,4,1,159956037
dynamic,26-4,b,26,4,9,192937716
entropy,26-4,b,26,4,1,2498642894
dynamic,26-4,c,26,4,9,1623284724
entropy,26-4,c,26,4,2,228909025
dynamic,26-4,d,26,4,8,383117122
entropy,26-4,d,26,4,1,57227256
dynamic,26-4,e,26,4,6,7536060
entropy,26-4,e,26,4,1,54484569
dynamic,26-4,f,26,4,6,45968140
entropy,26-4,f,26,4,1,217938279
dynamic,26-4,g,26,4,12,4727173643
entropy,26-4,g,26,4,1,336016056
dynamic,26-4,h,26,4,10,157788704
entropy,26-4,h,26,4,1,1275166007
dynamic,26-4,i,26,4,9,246024216
entropy,26-4,i,26,4,1,1275166007
dynamic,26-4,j,26,4,15,17625766189
entropy,26-4,j,26,4,1,489086159
dynamic,26-6,a,26,6,32,1468032715653
entropy,26-6,a,26,6,2,10429667460
dynamic,26-6,b,26,6,60,8516112523355
entropy,26-6,b,26,6,2,27122852087
dynamic,26-6,c,26,6,43,2436220650681
entropy,26-6,c,26,6,1,835386072
dynamic,26-6,d,26,6,31,479895527172
entropy,26-6,d,26,6,2,5922709083
dynamic,26-6,e,26,6,24,200578522120
entropy,26-6,e,26,6,1,690824787
dynamic,26-6,f,26,6,52,5441057538262
entropy,26-6,f,26,6,2,542599170
dynamic,26-6,g,26,6,38,618710764924
entropy,26-6,g,26,6,2,108491408348
dynamic,26-6,h,26,6,24,111143548890
entropy,26-6,h,26,6,1,3077549027
dynamic,26-6,i,26,6,22,13345674180
entropy,26-6,i,26,6,1,1858022845
dynamic,26-6,j,26,6,23,174035874090
entropy,26-6,j,26,6,2,18486029455
dynamic,26-8,a,26,8,83,15601389446800
entropy,26-8,a,26,8,2,260673387513
dynamic,26-8,b,26,8,74,2195913690336
entropy,26-8,b,26,8,2,27122852087
dynamic,26-8,c,26,8,94,5079655916452
entropy,26-8,c,26,8,2,56156056490
dynamic,26-8,d,26,8,115,3792475462250
entropy,26-8,d,26,8,2,42708727810
dynamic,26-8,e,26,8,103,1903720800162
entropy,26-8,e,26,8,2,13366177167
dynamic,26-8,f,26,8,153,46825463717440
entropy,26-8,f,26,8,2,984809572824
dynamic,26-8,g,26,8,48,529771863996
entropy,26-8,g,26,8,2,56156056490
dynamic,26-8,h,26,8,70,7273276289940
entropy,26-8,h,26,8,2,50166616817
dynamic,26-8,i,26,8,63,840855352102
entropy,26-8,i,26,8,2,24230008527
dynamic,26-8,j,26,8,113,38700987528034
entropy,26-8,j,26,8,2,27340747468
entropy,30-10,a,30,10,3,285944642715493
entropy,30-10,b,30,10,3,780302949036673
entropy,30-10,c,30,10,3,571889285430988
entropy,30-10,d,30,10,3,711914062500003
entropy,30-10,e,30,10,3,380268224649748
entropy,30-10,f,30,10,4,10628819999999998
entropy,30-10,g,30,10,3,215738159349659
entropy,30-10,h,30,10,4,2633522452998775
entropy,30-10,i,30,10,3,78427912760700
entropy,30-10,j,30,10,3,24384467157396
dynamic,30-4,a,30,4,9,41605488
entropy,30-4,a,30,4,2,40184363601
dynamic,30-4,b,30,4,10,12012774390
entropy,30-4,b,30,4,2,6060792185
dynamic,30-4,c,30,4,13,22840199949
entropy,30-4,c,30,4,2,146649777889
dynamic,30-4,d,30,4,8,1938339394
entropy,30-4,d,30,4,2,534538440
dynamic,30-4,e,30,4,10,12557286180
entropy,30-4,e,30,4,2,4829906831
dynamic,30-4,f,30,4,8,507504486
entropy,30-4,f,30,4,2,920355958
dynamic,30-4,g,30,4,7,233076312
entropy,30-4,g,30,4,2,667686320
dynamic,30-4,h,30,4,7,1281428588
entropy,30-4,h,30,4,1,509404236
dynamic,30-4,i,30,4,12,497333232
entropy,30-4,i,30,4,2,7733484380
dynamic,30-4,j,30,4,9,20396670388
entropy,30-4,j,30,4,2,1458764120
dynamic,30-6,a,30,6,37,13491196511360
entropy,30-6,a,30,6,3,7508515257509
dynamic,30-6,b,30,6,38,34967693975760
entropy,30-6,b,30,6,2,254768852538
dynamic,30-6,c,30,6,35,5025479392188
entropy,30-6,c,30,6,2,925051547606
dynamic,30-6,d,30,6,25,572399446446
entropy,30-6,d,30,6,2,384433593750
dynamic,30-6,e,30,6,32,902272789449
entropy,30-6,e,30,6,2,709610685438
dynamic,30-6,f,30,6,30,1582766356092
entropy,30-6,f,30,6,2,146649777889
dynamic,30-6,g,30,6,25,4490863134408
entropy,30-6,g,30,6,3,925051547606
dynamic,30-6,h,30,6,19,1387384726464
entropy,30-6,h,30,6,2,823974609374
dynamic,30-6,i,30,6,37,34038489241761
entropy,30-6,i,30,6,2,142934871006
dynamic,30-6,j,30,6,68,1356615504792726
entropy,30-6,j,30,6,2,451564206618
dynamic,30-8,a,30,8,214,47446973196099800
entropy,30-8,a,30,8,4,35031511230468
dynamic,30-8,b,30,8,175,910183993162544
entropy,30-8,b,30,8,3,5941691010152
dynamic,30-8,c,30,8,481,36622092208746564
entropy,30-8,c,30,8,3,92951600308978
dynamic,30-8,d,30,8,171,3558015679364298
entropy,30-8,d,30,8,2,1943235014570
dynamic,30-8,e,30,8,131,397756611919788
entropy,30-8,e,30,8,2,823974609374
dynamic,30-8,f,30,8,105,704641817996189
entropy,30-8,f,30,8,3,4449490522968
dynamic,30-8,g,30,8,169,1220077750372114
entropy,30-8,g,30,8,3,12301875000000
dynamic,30-8,h,30,8,123,1161019399236156
entropy,30-8,h,30,8,2,1886682356015
dynamic,30-8,i,30,8,173,3707270841704832
entropy,30-8,i,30,8,3,15980604396271
dynamic,30-8,j,30,8,166,4426273794786360
entropy,30-8,j,30,8,3,9662344629618
